run num,date,starttime ,,starttime ,start time,endtime ,duration,Acc power,exp. target,HD-Target ,Beam Pol,K1.8D1,K1.8mom,ESS,"CM
(1/2)",beam,Trig,1st trig Req,1st trig Acc,Solenoid,Ushiwaka,FT,SYIM,TM,beam,kaon,pion,MomS+,MomS-,MS+,MS-,IF-H +,IF-H-,IF-V +,IF-V-,DEF,Comment,Log Note,k- purity,"K- on target 
(DEF)","K- on target
(DEF*0.7)","Integrated K- on target
(DEF*0.7)",integrated time,kW*week,integrated kW*week,"true K
/spill","true pi
/spill",K/pi
46,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.54,,Au,negative,-369,1,200,350,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,2.82,0.84,,junk,,,,,,,,,,,
47,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.54,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,2.82,0.84,,[CM scan] 347,,,,,,,,,,,
48,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.53,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,0.5,0.2,,[IF-Y scan] 0.2 - 0.5,,,,,,,,,,,
49,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.53,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,1,0.7,,[IF-Y scan] 0.7 - 1.0,,0.921,,,,,,,,,
50,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.53,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,1.5,1.2,,[IF-Y scan] 1.2 - 1.5,,0.965,,,,,,,,,
51,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.53,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,2,1.7,,[IF-Y scan] 1.7 - 2.0,,0.952,,,,,,,,,
52,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.53,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,2.5,2.2,,[IF-Y scan] 2.2 - 2.5,,0.912,,,,,,,,,
53,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.53,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,3,2.7,,[IF-Y scan] 2.7 - 3.0,,0.876,,,,,,,,,
54,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.53,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,3.5,3.2,,[IF-Y scan] 3.2 - 3.5,,0.698,,,,,,,,,
55,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.53,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.1,-110,3.3,-1.42,109.8,-110,4,3.7,,[IF-Y scan] 3.7 - 4.0,,0.289,,,,,,,,,
56,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.58,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.2,-110,-2.48,-3.37,109.8,-110,2.63,0.63,,[MS scan] -2.48 - -3.37,,0.224,,,,,,,,,
57,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.58,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.2,-110,-1.49,-2.38,109.8,-110,2.63,0.63,,[MS scan] -1.49 - -2.38,,0.496,,,,,,,,,
58,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.58,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.2,-110,-0.51,-1.4,109.8,-110,2.63,0.63,,[MS scan] -0.51 - -1.40,,0.818,,,,,,,,,
59,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.58,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.2,-110,0.47,-0.38,109.8,-110,2.63,0.63,,[MS scan] 0.47 - -0.38,,0.977,,,,,,,,,
60,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.58,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.2,-110,1.49,0.61,109.8,-110,2.63,0.63,,[MS scan] 1.49 - 0.61,,0.933,,,,,,,,,
61,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.58,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.2,-110,,,109.8,-110,2.63,0.63,,junk,,,,,,,,,,,
62,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.58,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.2,-110,2.48,1.63,109.8,-110,2.63,0.63,,[MS scan] 2.48 - 1.63,,0.996,,,,,,,,,
63,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.58,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.2,-110,3.49,2.65,109.8,-110,2.63,0.63,,[MS scan] 3.49 - 2.65,,0.981,,,,,,,,,
64,,,,,2018/1/18 13:00,2018/1/18 13:00,00:00:00,31.58,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,,,,,,,160.2,-110,4.48,3.64,109.8,-110,2.63,0.63,,[MS scan] 4.48 - 3.64,,0.931,,,,,,,,,
65,,,,,2018/1/18 16:00,2018/1/18 16:00,00:00:00,31.56,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,10,33041,581651,4803793,1543603,3283323,160.1,-110,4.14,-0.57,109.8,-110,3.62,-0.43,on,"[beam record] DEF on, BPD=-0.2V",,0.976,,,,,,,,,
66,,,,,2018/1/18 16:26,2018/1/18 16:30,00:04:13,31.56,,Au,negative,-369,1,200,347,K,"K, beam/5",,,0,0,10,32918,581928,7330075,2442712,4909812,160.1,-110,4.14,-0.57,109.8,-110,3.62,-0.43,off,"[beam record] DEF off, BPD=-0.2V",,0.533,,,,,,,,,
